name,years_experience,technical_score,label
Melanie Oneill,6.4,45.2,0
Gina Blackwell,9.5,81.5,0
Michele Mcdonald,2.2,46.6,0
Jason Kelly,3.2,83.2,0
Tyler Mckay,2.9,57.2,0
Monica Sullivan,0.5,54.3,1
Jacob Rhodes,6.1,52.5,0
Robert Townsend,5.1,64.8,0
Robert Allen,2.1,41.2,0
Scott Johns,2.4,59.0,0
David Morris,4.3,58.2,0
Alicia Mason,2.8,63.4,0
Amanda Ramirez,2.7,59.9,0
Jack Williams,4.0,38.0,0
Karen Erickson,2.6,46.7,0
Tiffany Ashley,1.6,70.7,0
Jamie Graham,8.4,85.6,0
Jessica Meyers,1.6,68.1,0
Albert Jones,4.2,59.8,0
William Vaughan,4.2,87.6,0
Nicholas Ballard,7.6,35.1,0
Kyle Thompson,10.0,55.6,0
Nathan Andrews,0.5,25.0,1
Elizabeth Hicks,4.1,43.0,0
Stacy Santiago,9.5,90.6,0
Rebecca Young,2.1,64.3,0
Adam Gray,1.9,45.6,1
Jenna Golden,5.2,40.3,0
Matthew Brown,8.5,51.8,0
Samuel Brooks,0.2,49.7,1
Briana Smith,7.4,94.5,0
Kyle Hale,3.7,49.5,0
David Kramer,5.1,74.1,0
Ann Mckee,7.1,62.6,0
Jessica Hall,6.5,77.8,0
Brittney Fry,2.6,68.1,0
Joel Douglas,7.7,30.8,0
Anne Kim,0.8,79.8,0
James Gonzalez,9.6,64.3,0
Brian Mercado,1.8,81.8,0
Lisa Prince,7.0,34.2,0
Mark Gould,8.5,89.7,0
Richard Collins,9.0,93.9,0
Shawn Conley,9.5,34.0,0
Ryan Mckinney,7.8,65.4,0
Derek Simpson,4.1,40.3,0
Jessica Jimenez,7.7,32.9,0
Curtis Allen,7.0,69.2,0
Jessica Peterson,7.5,81.7,0
David Black,5.7,42.7,0
Anna Miller,8.0,74.4,0
Katherine Lucas,7.9,79.8,0
Kathryn Jones,9.9,66.3,0
Lee Morse,6.1,53.9,0
Gilbert Johns,8.4,98.8,0
Ronald Garcia,0.9,53.8,1
Stanley Gibson,9.2,61.2,0
Andrea Lee,3.6,35.2,0
Michael Campbell,4.9,49.4,0
Katherine Reed,3.9,34.3,0
Megan Gray,5.7,73.5,0
Joann Mitchell,2.6,85.8,0
Heather Wolfe,5.6,78.3,0
Emily Stevens,5.1,68.3,0
Tiffany Rangel,6.3,54.9,0
Anne Perez,3.2,32.1,0
David Weaver,3.3,50.8,0
Hayley Reed,2.5,59.8,0
Cheryl Ruiz,7.4,47.8,0
Angela Jackson,9.8,68.0,0
Jennifer Thomas,0.7,67.0,0
Tara Reilly,0.4,60.5,0
Barry Cox,7.9,86.6,0
Scott Jackson,9.9,28.9,0
John Hale,7.5,86.2,0
Stacey Fitzgerald,6.8,40.6,0
Jose Jenkins,1.1,93.6,0
Noah Ruiz,4.1,67.6,0
Mathew Hurst,6.7,55.4,0
David Haas,1.4,68.0,0
Spencer Edwards,1.8,72.6,0
Rachel Russell,4.5,39.1,0
Bradley Walton,7.8,27.6,0
Juan Browning,0.5,41.7,1
Eugene Golden,2.1,100.0,0
Scott Holloway,1.9,60.3,0
Jeffrey Fowler,8.4,48.9,0
Jennifer Wilson,8.1,59.1,0
Rachael Walsh,9.2,65.5,0
Julie Johnson,0.9,65.7,0
Vincent Green,8.8,85.1,0
David Cordova,5.3,79.1,0
Stephanie Lindsey,1.7,37.6,1
Christian Smith,1.8,64.7,0
Robert Williams,1.3,72.9,0
Danny Norris,7.1,61.0,0
Samuel Miller,5.9,49.9,0
Brad Santos,1.4,66.6,0
Nicholas Watts,5.5,19.9,0
Bill Nolan,3.2,67.1,0
